300_141, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1209,1209,1212,1217,1224,1241,1,1209,1211,1215,1224,1246,1,1209,1212,1218,1224,1247,4789,1209,1210,1214,1223,1250,2907
4,605,614,623,629,636,663,1,606,613,618,624,652,1,606,618,623,628,652,9568,605,613,618,626,668,3044
8,332,363,379,385,399,434,1,356,369,374,379,395,1,358,372,376,380,398,16216,350,365,369,374,396,3332
16,332,332,332,333,339,388,1,332,332,332,332,334,1,332,332,332,332,335,20470,332,332,332,332,334,3680
# Standard Task Graph Set Project
# Random Task Graph 300//tmp/300/rand0141.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 2235
#   Tasks             : 300 (+dummy tasks : 2)
#   Layers            : 30
#   Max. Layer Width  : 17
#   Min. Layer Width  : 5
#   Ave. Layer Width  : 10.000000
#   Edges             : 3104 / 43398 (+dummy edges : 34)
#   Max. Predecessors : 33
#   Min. Predecessors : 0
#   Ave. Predecessors : 10.346667
#   Probability       : 0.072372 (Real : 0.071524)
# Task processing time generator : expo2pks
#   Random Seed       : 2234
#   Max. Proc. Time   : 74
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 8.056667)
#   Probability of Av1: 0.500000
# CP Length           : 332
# Parallelism         : 7.280120
